Match,Team,Rank,Total Points,Placement Points,Kills
1,THEERATHON FIVE,1,18,10,8
1,FaZe Clan,2,9,6,3
1,V7 FUNPIN,3,9,5,4
1,17Gaming,4,8,2,6
1,Tianba Esports,5,7,4,3
1,Cerberus Esports,6,5,0,5
1,Petrichor Road,8,5,0,5
1,Twisted Minds,9,4,2,2
1,Danawa e-sports,10,4,1,3
1,NH-ESPORTS,11,3,0,3
1,Spacestation Gaming,12,3,0,3
1,Luminosity Gaming,13,3,0,3
1,Soniqs,14,2,1,1
1,Daytrade Gaming,15,0,0,0
1,Gen.G,16,0,0,0
1,TYLOO,16,0,0,0
2,NH-ESPORTS,1,20,10,10
2,Cerberus Esports,2,10,6,4
2,Soniqs,3,10,4,6
2,Spacestation Gaming,4,8,5,3
2,FaZe Clan,5,8,3,5
2,Twisted Minds,7,8,0,8
2,TYLOO,8,4,1,3
2,Gen.G,9,4,1,3
2,Luminosity Gaming,10,3,0,3
2,THEERATHON FIVE,11,3,0,3
2,Tianba Esports,12,2,0,2
2,Petrichor Road,13,1,0,1
2,V7 FUNPIN,14,1,0,1
2,Danawa e-sports,15,0,0,0
2,Daytrade Gaming,15,0,0,0
2,17Gaming,16,0,0,0
3,Luminosity Gaming,1,19,10,9
3,V7 FUNPIN,2,17,7,10
3,Danawa e-sports,3,11,6,5
3,Twisted Minds,4,8,5,3
3,Daytrade Gaming,6,6,0,6
3,Cerberus Esports,7,5,4,1
3,THEERATHON FIVE,8,4,2,2
3,17Gaming,9,4,0,4
3,Petrichor Road,10,4,0,4
3,TYLOO,11,2,0,2
3,FaZe Clan,12,2,0,2
3,Gen.G,13,1,1,0
3,NH-ESPORTS,14,1,0,1
3,Tianba Esports,14,1,0,1
3,Soniqs,15,1,0,1
3,Spacestation Gaming,16,1,0,1
4,17Gaming,1,17,10,7
4,TYLOO,2,16,6,10
4,Soniqs,3,11,4,7
4,Tianba Esports,5,5,5,0
4,FaZe Clan,6,4,1,3
4,Daytrade Gaming,7,4,0,4
4,V7 FUNPIN,8,4,0,4
4,THEERATHON FIVE,9,3,3,0
4,Luminosity Gaming,10,3,0,3
4,Petrichor Road,11,3,0,3
4,Danawa e-sports,12,3,0,3
4,Twisted Minds,13,2,0,2
4,Gen.G,13,2,0,2
4,NH-ESPORTS,14,1,1,0
4,Spacestation Gaming,15,1,0,1
4,Cerberus Esports,16,0,0,0
5,Petrichor Road,1,20,10,10
5,17Gaming,2,12,6,6
5,Luminosity Gaming,4,8,1,7
5,V7 FUNPIN,5,7,0,7
5,Spacestation Gaming,6,6,4,2
5,Twisted Minds,7,6,2,4
5,Daytrade Gaming,8,4,1,3
5,THEERATHON FIVE,9,3,3,0
5,Tianba Esports,10,3,0,3
5,Cerberus Esports,11,3,0,3
5,NH-ESPORTS,12,2,0,2
5,Soniqs,13,1,0,1
5,TYLOO,14,1,0,1
5,FaZe Clan,15,1,0,1
5,Danawa e-sports,16,0,0,0
5,Gen.G,16,0,0,0
6,FaZe Clan,1,22,10,12
6,Cerberus Esports,2,12,6,6
6,Soniqs,4,9,4,5
6,Daytrade Gaming,5,7,1,6
6,Spacestation Gaming,6,6,0,6
6,17Gaming,7,5,3,2
6,Twisted Minds,8,5,0,5
6,Tianba Esports,9,4,2,2
6,Danawa e-sports,10,4,0,4
6,NH-ESPORTS,11,3,1,2
6,Gen.G,12,3,2,1
6,Luminosity Gaming,13,2,0,2
6,THEERATHON FIVE,14,1,0,1
6,Petrichor Road,15,1,0,1
6,TYLOO,16,0,0,0
6,V7 FUNPIN,16,0,0,0
7,17Gaming,2,13,5,8
7,Twisted Minds,3,11,3,8
7,Luminosity Gaming,4,10,6,4
7,Petrichor Road,5,8,4,4
7,Spacestation Gaming,6,7,0,7
7,Danawa e-sports,7,5,2,3
7,Soniqs,8,4,1,3
7,FaZe Clan,9,3,0,3
7,Cerberus Esports,10,3,0,3
7,NH-ESPORTS,11,3,1,2
7,Daytrade Gaming,11,3,2,1
7,TYLOO,12,2,0,2
7,V7 FUNPIN,13,2,0,2
7,Tianba Esports,14,1,0,1
7,Gen.G,15,1,0,1
7,THEERATHON FIVE,16,0,0,0
8,Daytrade Gaming,3,12,4,8
8,17Gaming,4,9,6,3
8,Petrichor Road,5,6,0,6
8,FaZe Clan,6,5,3,2
8,Soniqs,7,5,0,5
8,THEERATHON FIVE,8,4,2,2
8,Tianba Esports,9,4,1,3
8,Spacestation Gaming,10,4,1,3
8,Gen.G,11,4,3,1
8,Twisted Minds,2,12,5,7
8,Cerberus Esports,12,2,0,2
8,V7 FUNPIN,13,1,0,1
8,TYLOO,14,0,0,0
8,Luminosity Gaming,15,0,0,0
8,NH-ESPORTS,16,0,0,0
8,Danawa e-sports,1,16,10,6
9,Twisted Minds,2,10,6,4
9,TYLOO,3,10,5,5
9,Tianba Esports,4,9,4,5
9,FaZe Clan,5,9,3,6
9,Cerberus Esports,6,8,2,6
9,NH-ESPORTS,7,7,1,6
9,Danawa e-sports,8,5,0,5
9,Petrichor Road,9,3,0,3
9,Soniqs,10,3,0,3
9,Luminosity Gaming,11,3,0,3
9,Spacestation Gaming,12,2,0,2
9,THEERATHON FIVE,13,2,0,2
9,V7 FUNPIN,14,1,0,1
9,Gen.G,15,0,0,0
9,17Gaming,16,0,0,0
9,Daytrade Gaming,1,14,10,4
10,Twisted Minds,2,15,10,5
10,NH-ESPORTS,3,12,5,7
10,Petrichor Road,4,9,0,9
10,Tianba Esports,5,8,1,7
10,FaZe Clan,6,6,4,2
10,Luminosity Gaming,7,6,3,3
10,Gen.G,8,4,0,4
10,17Gaming,9,4,0,4
10,Daytrade Gaming,10,2,2,0
10,Danawa e-sports,11,2,1,1
10,Soniqs,12,1,1,0
10,Spacestation Gaming,13,1,0,1
10,Cerberus Esports,14,1,0,1
10,TYLOO,15,1,0,1
10,THEERATHON FIVE,16,0,0,0
10,V7 FUNPIN,1,18,10,8
11,Tianba Esports,2,18,5,13
11,Danawa e-sports,3,12,6,6
11,THEERATHON FIVE,4,9,4,5
11,TYLOO,5,8,2,6
11,Luminosity Gaming,6,8,5,3
11,FaZe Clan,7,4,1,3
11,Spacestation Gaming,8,4,0,4
11,Soniqs,9,3,0,3
11,Daytrade Gaming,10,1,1,0
11,Gen.G,11,1,1,0
11,V7 FUNPIN,12,1,0,1
11,17Gaming,13,0,0,0
11,Twisted Minds,14,0,0,0
11,Petrichor Road,15,0,0,0
11,NH-ESPORTS,16,0,0,0
11,Cerberus Esports,1,19,10,9
12,17Gaming,2,14,6,8
12,Danawa e-sports,3,10,5,5
12,Twisted Minds,4,7,4,3
12,FaZe Clan,5,7,3,4
12,Tianba Esports,6,7,0,7
12,Luminosity Gaming,7,5,1,4
12,Cerberus Esports,8,5,0,5
12,Daytrade Gaming,9,4,0,4
12,Spacestation Gaming,10,3,2,1
12,Soniqs,11,3,2,1
12,NH-ESPORTS,12,2,1,1
12,Petrichor Road,13,2,0,2
12,V7 FUNPIN,14,1,0,1
12,THEERATHON FIVE,15,1,0,1
12,Gen.G,16,0,0,0
12,TYLOO,1,16,10,6
13,Gen.G,2,11,6,5
13,Soniqs,3,9,5,4
13,THEERATHON FIVE,4,9,4,5
13,17Gaming,5,8,1,7
13,Cerberus Esports,6,7,2,5
13,V7 FUNPIN,7,7,1,6
13,NH-ESPORTS,8,6,0,6
13,Daytrade Gaming,9,5,0,5
13,Luminosity Gaming,10,4,3,1
13,Twisted Minds,11,3,2,1
13,FaZe Clan,12,1,0,1
13,Tianba Esports,13,0,0,0
13,TYLOO,14,0,0,0
13,Petrichor Road,15,0,0,0
13,Spacestation Gaming,16,0,0,0
13,Danawa e-sports,1,17,10,7
14,Daytrade Gaming,2,10,5,5
14,NH-ESPORTS,3,10,3,7
14,V7 FUNPIN,4,9,6,3
14,Cerberus Esports,5,8,4,4
14,FaZe Clan,6,8,2,6
14,Danawa e-sports,7,6,1,5
14,Petrichor Road,8,6,0,6
14,Tianba Esports,9,4,0,4
14,Soniqs,10,3,0,3
14,Twisted Minds,11,2,1,1
14,Gen.G,12,1,0,1
14,THEERATHON FIVE,13,1,0,1
14,17Gaming,14,0,0,0
14,Luminosity Gaming,15,0,0,0
14,Spacestation Gaming,16,0,0,0
14,TYLOO,1,15,10,5
15,TYLOO,2,14,3,11
15,17Gaming,3,11,5,6
15,Petrichor Road,4,8,2,6
15,Daytrade Gaming,5,8,4,4
15,Cerberus Esports,6,7,1,6
15,Gen.G,7,7,1,6
15,Danawa e-sports,8,5,2,3
15,THEERATHON FIVE,9,5,0,5
15,Spacestation Gaming,10,3,0,3
15,NH-ESPORTS,11,2,2,0
15,V7 FUNPIN,12,2,0,2
15,FaZe Clan,13,1,0,1
15,Twisted Minds,14,0,0,0
15,Luminosity Gaming,15,0,0,0
15,Soniqs,16,0,0,0
15,Tianba Esports,1,16,10,6
16,Luminosity Gaming,2,15,4,11
16,Petrichor Road,3,13,6,7
16,FaZe Clan,4,12,5,7
16,Gen.G,5,10,3,7
16,Cerberus Esports,6,7,1,6
16,Tianba Esports,7,5,2,3
16,NH-ESPORTS,8,5,1,4
16,Soniqs,9,2,0,2
16,V7 FUNPIN,10,2,0,2
16,Daytrade Gaming,11,1,0,1
16,17Gaming,12,1,0,1
16,TYLOO,13,1,0,1
16,Twisted Minds,14,1,0,1
16,Spacestation Gaming,15,0,0,0
16,THEERATHON FIVE,16,0,0,0
16,Danawa e-sports,1,17,10,7
17,Petrichor Road,2,21,6,15
17,THEERATHON FIVE,3,11,5,6
17,FaZe Clan,4,10,2,8
17,Twisted Minds,5,8,4,4
17,Spacestation Gaming,6,6,3,3
17,Tianba Esports,7,5,1,4
17,Daytrade Gaming,8,4,0,4
17,TYLOO,9,4,0,4
17,Cerberus Esports,10,2,2,0
17,Danawa e-sports,11,1,1,0
17,Gen.G,12,1,0,1
17,NH-ESPORTS,13,1,0,1
17,Luminosity Gaming,14,0,0,0
17,Soniqs,15,0,0,0
17,V7 FUNPIN,16,0,0,0
17,17Gaming,1,23,10,13
18,Gen.G,2,13,6,7
18,Tianba Esports,3,10,5,5
18,Petrichor Road,4,9,4,5
18,Daytrade Gaming,5,9,3,6
18,TYLOO,6,6,2,4
18,17Gaming,7,6,0,6
18,NH-ESPORTS,8,5,1,4
18,Cerberus Esports,9,2,0,2
18,Danawa e-sports,10,2,0,2
18,V7 FUNPIN,11,2,1,1
18,THEERATHON FIVE,12,1,1,0
18,Luminosity Gaming,13,1,0,1
18,FaZe Clan,14,1,0,1
18,Soniqs,15,1,0,1
18,Twisted Minds,16,0,0,0
18,Spacestation Gaming,1,19,10,9
