Rank,Team,Player,Matches,Kills(HS),DmgDealt,Assists,AVG.DmgDealt,LongestKill,AVG.TimeSurvived,AVG.DisMoved
1,"Petrichor Road","PeRo_Aixleft",18,"38(8)",5853.87,19,325.21,"218.89m","20:15","78777.39km"
2,"Tianba Esports","Tian_77owo",18,"31(3)",3635.63,10,201.98,"278.59m","21:52","80857.84km"
3,"Danawa e-sports","DNW_Salute",18,"28(9)",5274.75,12,293.04,"277.5m","23:45","132295.91km"
4,"17Gaming","17_Xbei",18,"27(8)",3712.96,5,206.28,"364.94m","22:55","80976.12km"
5,"Cerberus Esports","CES_Himass",18,"26(9)",6063.31,12,336.85,"377.81m","23:08","99528.36km"
6,"Danawa e-sports","DNW_seoul",18,"25(3)",7042.97,14,391.28,"249.73m","23:31","116780.46km"
7,"Twisted Minds","TWIS_spyrro",18,"24(5)",4097.49,14,227.64,"264.79m","23:36","87972.29km"
8,"FaZe Clan","FaZe_jeemzz",18,"23(8)",4178.56,10,232.14,"324.78m","20:29","92373.56km"
9,"NH-ESPORTS","NH_MMing",18,"23(6)",3933.13,8,218.51,"391.89m","23:13","99686.05km"
10,"Petrichor Road","PeRo_Ming",18,"23(4)",3746.9,13,208.16,"396.16m","20:10","84004.99km"
11,"17Gaming","17_Lilghost",18,"22(6)",3502.1,11,194.56,"327.07m","23:50","89367.63km"
12,"Luminosity Gaming","LG_Snakers",18,"21(4)",5271.81,8,292.88,"322m","22:58","100109.15km"
13,"Twisted Minds","TWIS_BatulinS",18,"21(4)",4985.56,15,276.98,"364.74m","22:08","92887.82km"
14,"Luminosity Gaming","LG_M1ME",18,"21(6)",3923.13,11,217.95,"396.18m","18:54","97066.57km"
15,"V7 FUNPIN","V7_Gyumin",18,"20(4)",3323.84,12,184.66,"347.83m","18:36","81506.8km"
16,"Gen.G","GEN_DG98",18,"20(5)",3313.77,7,184.1,"229.58m","20:54","100797.38km"
17,"Danawa e-sports","DNW_Loki",18,"19(6)",4967.7,12,275.98,"593.87m","23:03","122686.02km"
18,"17Gaming","17_xwudd",18,"19(2)",3808.68,4,211.59,"310.42m","23:40","80261.53km"
19,"Soniqs","SQ_Kickstart",18,"19(4)",3738.4,5,207.69,"566.27m","20:27","97707.52km"
20,"TYLOO","TL_Shen",18,"18(6)",3783.48,3,210.19,"423.67m","19:10","95596.71km"
21,"NH-ESPORTS","NH_Nannnnn",18,"18(2)",2960.32,9,164.46,"352.55m","21:10","94093.07km"
22,"Cerberus Esports","CES_Taikonn",18,"17(5)",4728.5,15,262.69,"402.36m","22:01","101353.14km"
23,"FaZe Clan","FaZe_Fexx",18,"17(4)",4022.94,11,223.5,"435.73m","19:54","88568.43km"
24,"FaZe Clan","FaZe_curexi",18,"17(4)",3933.67,14,218.54,"315.38m","20:53","98270.61km"
25,"NH-ESPORTS","NH_CC108",18,"17(5)",3787.63,12,210.42,"207.73m","22:56","94884.33km"
26,"Daytrade Gaming","DAY_Nourinz",18,"17(4)",3650.41,9,202.8,"123.69m","22:58","99816.7km"
27,"Luminosity Gaming","LG_Fludd",18,"17(3)",3561.03,8,197.84,"306.05m","20:59","93949.34km"
28,"Spacestation Gaming","SSG_PaG3",18,"17(7)",3123.4,12,173.52,"432.07m","19:30","107887.24km"
29,"Petrichor Road","PeRo_Cui71",18,"17(3)",3099.11,7,172.17,"117.03m","18:41","69312.12km"
30,"TYLOO","TL_ATongMuu",18,"17(5)",2644.37,8,146.91,"178.56m","19:21","106680.18km"
31,"V7 FUNPIN","V7_Glaz",18,"16(4)",3077.17,6,170.95,"321.94m","19:22","81102.23km"
32,"Daytrade Gaming","DAY_Flash",18,"15(3)",3359.89,15,186.66,"245.08m","22:41","102872.83km"
33,"Daytrade Gaming","DAY_Belmoth",18,"15(5)",2761.55,5,153.42,"171.45m","20:08","106787.26km"
34,"Tianba Esports","Tian_Zyy",18,"15(2)",2693.51,8,149.64,"183.84m","19:18","97841.38km"
35,"TYLOO","TL_Jiaoyang",18,"15(1)",2670.67,5,148.37,"418.19m","19:08","95738.89km"
36,"Twisted Minds","TWIS_Lu",18,"15(5)",2606.74,9,144.82,"298.73m","22:40","91756.43km"
37,"Twisted Minds","TWIS_Perfect1ks",18,"14(2)",5813.2,23,322.96,"716.14m","22:24","77058.65km"
38,"Tianba Esports","Tian_LinShu23",18,"14(5)",4103.01,12,227.95,"184.26m","21:10","99126.91km"
39,"V7 FUNPIN","V7_Tosi",18,"14(3)",3530.33,11,196.13,"201.65m","17:19","74387.13km"
40,"Danawa e-sports","DNW_Inonix",18,"14(2)",3300.38,5,183.35,"178.31m","22:37","123632.94km"
41,"Cerberus Esports","CES_HaiSaki",18,"14(5)",2735.85,4,151.99,"294.57m","19:25","95642.64km"
42,"NH-ESPORTS","NH_Dec12th",18,"14(4)",2647.16,5,147.06,"191.99m","21:27","93413.5km"
43,"Spacestation Gaming","SSG_Roth",18,"14(3)",2576.63,3,143.15,"188.14m","18:44","100655.31km"
44,"Tianba Esports","Tian_PaoPao",18,"13(4)",3924.56,10,218.03,"222.87m","19:25","86345.83km"
45,"THEERATHON FIVE","T5_Thanad0l",18,"13(4)",3709.75,5,206.1,"389.45m","21:04","77337.68km"
46,"Spacestation Gaming","SSG_Sharpshot4K",18,"13(5)",3237.1,8,179.84,"407.53m","18:52","106733.32km"
47,"Soniqs","SQ_TGLTN",18,"13(2)",3048.3,7,169.35,"388.48m","19:53","100544.51km"
48,"FaZe Clan","FaZe_Gustav",18,"13(6)",3015.79,8,167.54,"196.66m","19:03","77546.3km"
49,"V7 FUNPIN","V7_Heaven",18,"12(6)",4258.29,11,236.57,"256.39m","19:11","78046.39km"
50,"Soniqs","SQ_Shrimzy",18,"12(4)",3983.86,8,221.33,"243m","20:59","95697.3km"
51,"THEERATHON FIVE","T5_RossitedJR",18,"11(2)",4329.65,13,240.54,"174.02m","21:07","77629.71km"
52,"Cerberus Esports","CES_Sololzy",18,"11(2)",3792.4,13,210.69,"367.54m","23:01","96222.97km"
53,"Gen.G","GEN_Pio",18,"11(1)",2977.15,9,165.4,"200.32m","19:19","75336.68km"
54,"Spacestation Gaming","SSG_PiXeL1K",18,"11(7)",2634.95,6,146.39,"537.57m","19:02","104530.19km"
55,"17Gaming","17_SuJiu",18,"10(1)",3109.89,13,172.77,"292.1m","22:40","81895.55km"
56,"Daytrade Gaming","DAY_PuuChiwz",18,"10(1)",3054.08,7,169.67,"278.39m","21:31","105173.02km"
57,"THEERATHON FIVE","T5_Pathompong",18,"9(2)",3718.27,4,206.57,"213.91m","21:18","76900.35km"
58,"Gen.G","GEN_Seongjang",18,"9(3)",2747.11,10,152.62,"142.98m","20:00","84193.27km"
59,"TYLOO","TL_Lzqq",18,"9(1)",2096.74,11,116.49,"341.47m","20:00","103264.67km"
60,"THEERATHON FIVE","T5_Hatsawat",18,"8(1)",2861.66,7,158.98,"140.46m","20:30","73603.46km"
61,"Soniqs","SQ_hwinn",18,"8(1)",2259.1,6,125.51,"170.72m","18:55","89451.08km"
62,"Gen.G","GEN_Esther",18,"8(3)",1782.41,6,99.02,"263.4m","21:13","93572.12km"
63,"Luminosity Gaming","LG_Relo",18,"7",2152.83,4,119.6,"203.23m","20:17","103206.04km"
64,"Petrichor Road","PeRo_Summer",18,"5(1)",2266.83,7,125.94,"62.44m","19:24","73461.32km"